ID,Property Name,City,Region,Type,Mobile (WhatsApp),Email,Website
IT014606,"THE HIVE HOTEL",Roma,Lazio,Hotel,+393288509597,info@thehiverome.com,https://www.thehiverome.com
IT014609,"HOTEL MARTINI",Roma,Lazio,Hotel,+39337662010,hotelmartini@gmail.com,www.hotelmartini.net
IT014610,"FLATINROME TRASTEVERE DUE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393331929247,info@flatinrome.it,www.flatinrome.it
IT014611,"FLATINROME TRASTEVERE COMPLEX - DELUXE ROOMS - GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393331929247,info@flatinrome.it,www.flatinrome.it
IT014613,"Evelina Luxury Home",Roma,Lazio,Altro,+393668905884,info@maisonevelina.it,www.maisonevelina.it
IT014614,"OTTO Rooms Guest House o Affittacamere",Roma,Lazio,Altro,+393755790929,ottorooms@gmail.com,https://www.ottorooms.it/
IT014616,"HOTEL SOURIRE",Roma,Lazio,Hotel,+393668943943,sourire@tiscali.it,www.sourirehotel.it
IT014617,"Borghese Contemporary Hotel",Roma,Lazio,Hotel,+393496631863,info@borghesecontemporaryhotel.com,www.borghesecontemporaryhotel.com
IT014618,"HOTEL VARESE",Roma,Lazio,Hotel,+393515787348,direzione@hotelvareseroma.com,www.hotelvareseroma.com
IT014619,"GUEST HOUSE O AFFITTACAMERE MATER ROOMS & SUITES",Roma,Lazio,Altro,+393806383933,info.matervacations@gmail.com,www.materguesthouse.com
IT014622,"CARDINAL HOTEL ST.PETER",Roma,Lazio,Hotel,+393456001249,info@cardinahotelrome.com,www.cardinalhotelrome
IT014623,"CSD HOTEL CASA VALDESE ROMA",Roma,Lazio,Hotel,+393453503821,dsoragna@diaconiavaldese.org,www.casavaldeseroma.it
IT014624,"Residenza Maritti Decò Style Guest House o Affittacamere",Roma,Lazio,Altro,+393495511706,info@residenzamaritti.com,www.residenzamaritti.com
IT014625,"Guest House o Affittacamere ROME WINNERS HOME",Roma,Lazio,Altro,+393441738000,info.romewinnershome@gmail,http://rome-winners-home-guesthouse.business.it
IT014626,"DEGLI ARANCI",Roma,Lazio,Hotel,+393428488099,info@hoteldegliaranci.com,www.hoteldegliaranci.com
IT014627,"CASTELLO DELLA CASTELLUCCIA",Roma,Lazio,Hotel,+393487717158,eventi@lacastelluccia.com,
IT014629,"SCALINATA DI SPAGNA PANORAMIC SUITES",Roma,Lazio,Altro,+393480006947,fabrizio.jemma@gmail.com,www.hotelscalinata.com
IT016188,"COLOSSHOUSE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393911103615,colosshouse@gmail.com,http://www.colosshouse.com
IT016351,"GUEST HOUSE O AFFITTACAMERE MAISON TRITONE",Roma,Lazio,Altro,+393427566808,info@maisontritone.it,www.maisontritone.it
IT016352,"PALAZZO BAJ IN TRASTEVERE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393456800872,info@palazzobaj.com,www.palazzobaj.com
IT016364,"HOTEL PRISCILLA",Roma,Lazio,Hotel,+393396522557,info@hotelpriscilla.it,www.hotelpriscilla.it
IT016369,"GUEST HOUSE O AFFITTACAMERE RELAIS FORUS INN",Roma,Lazio,Altro,+393409615282,info@forusinn.com,www.forusinn.com
IT016376,"Guest House IV fontane",Roma,Lazio,Altro,+393516584614,info@vaccommodation.it,www.vaccommodation.it
IT016386,"HOTEL SUITE CAESAR",Roma,Lazio,Hotel,+393483394319,suitecaesar@gmail.com,www.suitecaesarhotelroma.it
IT016387,"GIGLIO DELL'OPERA",Roma,Lazio,Hotel,+393483079096,hotelgigliodelloperapalacesrl@gmail.com,www.gigliodellopera.it
IT016388,"TMARK HOTEL VATICANO",Roma,Lazio,Hotel,+393480049932,sede@tmarkhotelvaticano.it,www.tmarkhotelvaticano.it
IT016390,"guest house o affittacamere GreeD",Roma,Lazio,Altro,+393486684793,info@ostiaholidaysrl.com,www.ostiaholidaysrl.com
IT016396,"Casa per Ferie Severino Fabriani",Roma,Lazio,Altro,+393490536615,info@casaseverinofabriani.it,http://www.casaseverinofabriani.it/index.cfm/it/home/
IT016397,"HOTEL AGORA'",Roma,Lazio,Hotel,+393394254577,info@hotelagoraroma.com,http://hotelagoraroma.com
IT016403,"Residenza Maritti Contemporary Suite Guest House o Affittacamere",Roma,Lazio,Altro,+393289574881,info@residenzamaritti.com,www.residenzamaritti.com
IT016407,"LE CLARISSE RELAIS",Roma,Lazio,Altro,+393312380211,info@leclarissetrastevere.com,www.leclarissetrastevere.com
IT016427,"Guest House o Affittacamere ROMAX",Roma,Lazio,Altro,+393287010691,romaxhouses@outlook.com,http://romaxhouses.weebly.com/
IT016431,"GUEST HOUSE O AFFITTACAMERE JB LUXURY RELAIS",Roma,Lazio,Altro,+393282373787,reservation@jbrelaisluxury.com,www.jbrelaisluxury.com
IT016432,"Babuino Palace & Suites Guest House o Affittacamere",Roma,Lazio,Altro,+393281274088,bbh176srl@gmail.com,www.babuinopalacesuites.com
IT016440,"Guest House o Affittacamere RESIDENZA ROMA IMPERIALE",Roma,Lazio,Altro,+393386359947,info@residenzaromaimperiale.com,www.residenza roma imperiale.it
IT016441,"Guest House o affittacamere CASA DE' CORONARI SUITES",Roma,Lazio,Altro,+393385855279,info@casadeicoronari.com,www.casadecoronari.com
IT016446,"Trastevere Dream House - Guesthouse",Roma,Lazio,Altro,+393381448947,info@trasteveredreamhouse.com,www.trasteveredreamhouse.com
IT016448,"HOTEL DONATELLO",Roma,Lazio,Hotel,+393358331415,info@donatellorome.com,www.donatellorome.com
IT016456,"Little Queen Pantheon Guest House o Affittacamere",Roma,Lazio,Altro,+393391122460,info@littlequeen.it,www.littlequeen.it
IT016460,"ORTO DI ROMA",Roma,Lazio,Hotel,+393356699530,hotelpalmieri@gmail.com,www.borgopalmieri.com
IT016461,"ROMARESIDENCE TRASTEVERE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393331929247,info@flatinrome.it,www.romaresidence.com
IT016462,"Nobildonne Relais Guest House o Affittacamere",Roma,Lazio,Altro,+393332193310,info@nobildonnerelais.com,www.nobildonennerelais.com
IT016464,"BLACK HOTEL",Roma,Lazio,Hotel,+393331477111,info@blackhotel.it,www.blackhotel.it
IT016465,"ALBERGO UMILTA' 36",Roma,Lazio,Hotel,+393334072049,info@umilta36.com,www.umilta36.com
IT016466,"HOTEL BIG BANG",Roma,Lazio,Hotel,+393356229068,hotelbigbang@gmail.com,www.hotelbigbang.it
IT016471,"Albergo Relais Manzoni",Roma,Lazio,Hotel,+393347064940,info@relaismanzoni.it,www.relaismanzoni.it
IT016517,"GUEST HOUSE O AFFITTACAMERE KINGS OF ROME 7",Roma,Lazio,Altro,+393922115543,kingsofrome1@gmail.com,www.kingsofrome.it
IT016524,"Guest House o Affittacamere Tibur Star",Roma,Lazio,Altro,+393939444400,info@tiburstar.it,www.tiburstar.it
IT016525,"Foro Romano Luxury Suites GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393920740041,info@fororomanoluxurysuites.com,www.fororomanoluxurysuites.com
IT016527,"Aurelia 429 Fine Town House Guest House o Affittacamere",Roma,Lazio,Altro,+393883247721,aureliaroma429@gmail.com,www.aurelia429.com
IT016528,"HOTEL LELLA",Roma,Lazio,Hotel,+393805217201,hotellella@gmail.com,www.hotellellarome.com
IT016529,"HOSTEL BEAUTIFUL",Roma,Lazio,Altro,+393805217201,beautiful2hotels@gmail.com,www.hostelbeautiful.com
IT016533,"IL TEMPO DI MORFEO  GUEST HOUSE O AFFITTACAMERE'",Roma,Lazio,Altro,+393917992448,info@iltempodimorfeo.it,www.iltempiodimorfeo.it
IT016534,"Guest House o affittacamere' al Conservatorio",Roma,Lazio,Altro,+393895170173,info@guesthousealconservatorio.it,http://guesthousealconservatorio.it
IT016638,"UNIVERSO",Roma,Lazio,Hotel,+393906476811,universo@lvrh.it,www.hoteluniverso.com
IT016794,"ST. PETER VATICAN ROOMS",Roma,Lazio,Altro,+393205707490,info@stpetervaticanrooms.com,www.stpetervaticanrooms.com
IT017876,"Casa Lili Bed & Breakfast",Roma,Lazio,B&B,+393336871598,info@casalili.it,www.casalili.it
IT017877,"CAVOUR SUITES GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393335363831,info@domushotel.it,www.domushotel.it
IT017878,"Babbo Guest House o Affittacamere",Roma,Lazio,Altro,+393332844135,bbromababbo@gmail.com,
IT017880,"Mysterium Christi",Roma,Lazio,Altro,+393332331364,suoredicristo@virgilio.it,www.suoredicristo.it
IT017882,"Quarto Piano Guest house o affittacamere",Roma,Lazio,Altro,+393272339394,planbsrls@gmail.com,www.quartopianoguesthouse.it
IT017886,"guest house o affittacamere cesare ai cavalieri_",Roma,Lazio,Altro,+393338583836,info@cesareaicavalieri.it,www.cesareaicavalieri.it
IT017887,"CASA HEBERART GUEST HOUSE CAPO LE CASE",Roma,Lazio,Altro,+393277366473,casaheberart@gmail.com,www.casaheberart.com
IT017889,"Rome Together  Guest House o Affittacamere",Roma,Lazio,Altro,+393346550306,rometogether4@gmail.com,www.rometogether.it
IT017893,"HOTEL PISA",Roma,Lazio,Hotel,+393295999999,hotelpisaroma@gmail.com,www.hotelpisaroma.it
IT017894,"HOTEL LEONE",Roma,Lazio,Hotel,+393293425478,hotelleoneroma@outlook.it,www.hotelleoneroma.com
IT017895,"APPIA AVENUE 639",Roma,Lazio,Altro,+393291832663,bonettesole@gmail.com,http://appia639.it
IT017896,"Guest House o Affittacamere Whatshouse Roma di Trucchi Clara",Roma,Lazio,Altro,+393291547369,clara.trucchi@gmail.com,https://whatshouseroma.bookingturbo.com
IT017898,"VATICAN GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393319844526,zenrealestate@legalmail.it,www.zenrealestatesrl.it
IT017900,"Guest House o Affittacamere Da Angelica",Roma,Lazio,Altro,+393275966546,laurettaa1987@gmail.com,www.dangelica.it
IT017901,"OLY HOTEL",Roma,Lazio,Hotel,+393341412402,booking@bvolyhotel.com,https://www.bvolyhotel.com//
IT017902,"Guest House o Affittacamere BEB ARA COELI ROMA S.R.L.",Roma,Lazio,Altro,+393402626175,info@aracoeli.it,http://aracoeli.it/
IT017903,"HOTEL PARIS",Roma,Lazio,Hotel,+393398969919,s57@pec.net,
IT017904,"Regina Giovanna",Roma,Lazio,Hotel,+393397234364,alberto.piram@gmail.com,https://www.reginagiovannahotel.com/
IT017905,"dipendenza hotel bellavista",Roma,Lazio,Altro,+393397115054,info@hotelostia.it,http://www.rivabellahotels.it
IT017906,"bellavista",Roma,Lazio,Hotel,+393397115054,info@hotelostia.it,www.rivabellahotels.it
IT017907,"GUEST HOUSE O AFFITTACAMERE SOFIA'S SUITE",Roma,Lazio,Altro,+393246246694,info@sofiasuite.com,www.sofiasuite.com
IT017908,"Guest House Cavour 278",Roma,Lazio,Altro,+393397049528,info@cavour278.com,http://guesthousecavour278.com
IT017909,"GUEST HOUSE O AFFITTACAMERE GUEST HOUSE CAMPO 24",Roma,Lazio,Altro,+393395857488,infocampo24@gmail.com,http://www.campo24roma.it
IT017910,"Roma Guest House o Affittacamere",Roma,Lazio,Altro,+393395084989,durasta@gmail.com,www.guestromahouse.com
IT017911,"Giovanni Guest House o Affittacamere",Roma,Lazio,Altro,+393395014088,info@giovanniguesthouse.com,http://giovanniguesthouse.com
IT017913,"Vittoria Garden Suites Guest House o Affittacamere",Roma,Lazio,Altro,+393394638299,info@vittoriagardensuites.com,www.vittoriagardensuites.com
IT017915,"GUEST HOUSE O AFFITTACAMERE  insula urbis",Roma,Lazio,Altro,+393393309088,info@insulaurbis.it,www.insulaurbis.it
IT017916,"HOSTEL O OSTELLO OSTELLO BELLO ROMA",Roma,Lazio,Altro,+393392024069,info@ostellobello.com,http://www.ostellobello.com/
IT017918,"Bed and breakfast Sapore di casa",Roma,Lazio,B&B,+393388363583,info@bbromasaporedicasa.com,www.bbromasaporedicasa.com
IT017919,"Guest House o Affittacamere Eudora  Roma",Roma,Lazio,Altro,+393387465832,infoeudoraroma@gmail.com,www.eudoraroma.it
IT017922,"LILIUM",Roma,Lazio,Hotel,+393444787225,liliumhotel@gmail.com,https://www.liliumhotel.it/it/
IT017923,"Tritone Suite - GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393427566808,maisontritone.roma@gmail.com,
IT017925,"Tritone Suite Guest House o Affittacamere",Roma,Lazio,Altro,+393427566808,maisontritone.roma@gmail.com,
IT017926,"JSK SUITE",Roma,Lazio,Altro,+393755314763,jsksuite@icloud.com,www.jsksuite.com
IT017928,"ART ATELIER ROMA ACCOMODATION guest house o affittacamere",Roma,Lazio,Altro,+393423422074,info@artatelierroma.com,www.artatelierroma.com
IT017930,"ARENA SUITE FONTANA DI TREVI Guest House o Affittacamere",Roma,Lazio,Altro,+393423189701,info@suitefontanaditrevi.it,www.suitefontanaditrevi.it
IT017931,"Audrey's Roman Holidays - Rome Suite & Rooms, Guest House o Affittacamere",Roma,Lazio,Altro,+393420015693,info@vaticangarden.com,www.vaticangarden.com
IT017932,"Guest House o Affittacamere Dada Suite Rooms",Roma,Lazio,Altro,+393409792694,dadasuiterooms@gmail.com,
IT017934,"GUEST HOUSE O AFFITTACAMERE PAX APARTMENT",Roma,Lazio,Altro,+393387342883,paxapts@gmail.com,www.paxapartment.it
IT017935,"NAVONA QUEEN SUITES Guest House o Affittacamere",Roma,Lazio,Altro,+393347222247,info@navonasuiterome.com,www.navonaqueenrome.com
IT017938,"casa per ferie Ravasco San Pietro",Roma,Lazio,Altro,+393383825698,ravascos.pietroincoming@gmail.com,www.casaravascosanpietro@gmail.com
IT017939,"GARDENIA SUITE",Roma,Lazio,Altro,+393371120110,info@gardeniasuite.com,www.gardeniasuite.com
IT017941,"domus Cavour guest house o affittacamere di cristiano de benedetti",Roma,Lazio,Altro,+393358039437,info@domushotel.it,www.domushotel.it
IT017942,"HOTEL FERRARO",Roma,Lazio,Hotel,+393357613396,dinicola.giuseppe@gmail.com,www.hotelferraro.it
IT017943,"GUEST HOUSE o AFFITTACAMERE YOUR VATICAN SUITES",Roma,Lazio,Altro,+393356059854,pietro.barbaranelli@icloud.com,http://your vatican suites
IT017945,"HOTEL ANTICO ACQUEDOTTO",Roma,Lazio,Hotel,+393351386314,info@hotelanticoacquedotto.it,www.hotelanticoacquedotto.it
IT017947,"ARA DI MARTE SUITES GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393453023213,info@aradimarte.com,www.aradimarte.comwww.aradimarte.com
IT017952,"GUEST HOUSE O AFFITTACAMERE MY SUITE ROME",Roma,Lazio,Altro,+393282363493,mysuiterome64@gmail.com,www.mysuiterome.com
IT017953,"Love Suite Roma Guest House o Affittacamere",Roma,Lazio,Altro,+393280257542,info@lovesuiteroma.com,https://www.lovesuiteroma.com/
IT017954,"GUEST HOUSE O AFFITTACAMERE THE CAESAR'S ROOMS",Roma,Lazio,Altro,+393280274758,info@caesaroom.it,www.caesarsroomsrome.it
IT017959,"GUEST HOUSE O AFFITTACAMERE MINERVA RELAIS 2",Roma,Lazio,Altro,+393282373787,reservation@jbrelaisluxury.com,www.jbrelaisluxury.com
IT017960,"Guest House o Affittacamere Luxury Suites stay inn rome experience",Roma,Lazio,Altro,+393498451830,stayinnromeexperience@gmal.com,www.stayinnromeexperience.com
IT017962,"HOTEL PRIMAVERA",Roma,Lazio,Hotel,+393290099520,hotelprimaveraroma@gmail.com,www.hotelprimavera-roma.it
IT017963,"Bed & Breakfast Al Ponte del Papa",Roma,Lazio,B&B,+393286167208,info@alpontedelpapa.it,www.alpontedelpapa.it
IT017964,"CASA HEBERART GUEST HOUSE SISTINA",Roma,Lazio,Altro,+393277366473,casaheberart@gmail.com,www.casaheberart.com
IT017968,"GUEST HOUSE O AFFITTACAMERE MINERVA RELAIS 1",Roma,Lazio,Altro,+393282373787,info@minervarelais.com,www.minervarelais.com
IT017969,"MAMI HOUSE ROME' Guest House o Affittacamere",Roma,Lazio,Altro,+393277895304,info@mamirome.it,www.mamirome.it
IT017972,"GUEST HOUSE O AFFITTACAMERE MAISON VANTAGGIO",Roma,Lazio,Altro,+393451575218,maisonvantaggio@gmail.com,
IT017973,"5 VATICAN ROOMS 'GUEST HOUSE O AFFITTACAMERE'",Roma,Lazio,Altro,+393386542434,4vaticanrooms@libero.it,www.4vaticanrooms.com
IT017978,"Hotel Sonder Testaccio",Roma,Lazio,Hotel,+393285308564,reservations@sonder.com,www.sonder.com/destinations/rome/ROM-BENI4-36/c37085?sleeps=1
IT017982,"Guest House o Affittacamere VILLA ANAGNINA",Roma,Lazio,Altro,+393201633505,info@villaanagnina.com,www.villaanagnina.com
IT017985,"hotel donna francesca",Roma,Lazio,Hotel,+393312153754,info@hoteldonnafrancesca.com,www.hoteldonnafrancesca.com
IT017986,"GUEST HOUSE O AFFITTACAMERE DE VINCE SUITES",Roma,Lazio,Altro,+39393762146898,concierge.devince@gmail.com,https://devincesuites.com/
IT017987,"THE ARCH B&B di Alessio Angelisanti Bed & Breakfast",Roma,Lazio,B&B,+39393492217225,thearchbnb@gmail.com,https://thearchbnb.com/
IT017988,"ST. JOHN TERRACE",Roma,Lazio,Altro,+39393456238502,stjtroma@yahoo.com,www.stjterrace.it
IT017994,"COLOSSEO HOUSE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393277531144,info@colosseo.house,www.colosseo.house
IT017997,"guest house o affittacamere villa italia",Roma,Lazio,Altro,+393939430233,info@relaisvillaitalia.com,www.relaisvillaitalia.com
IT018000,"Guest House o Affittacamere Campo de' fiori 34",Roma,Lazio,Altro,+393921295658,info@campodefiori34.com,www.campodefiori34.com
IT018001,"PICCOLO IMPERIALE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393920283595,piccoloimperiale@tiscali.it,www.piccoloimperialeroma.it
IT018002,"RITA A TRASTEVERE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393920208179,info@deseomaison.com,www.deseomaison.com
IT018003,"SKYBLUE PLACE guest house o affittacamere",Roma,Lazio,Altro,+393917251733,ferrarihome@gmail.com,www.skyblueplace.com
IT018005,"LA CHIOSTRINA DI FRANCESCO MORELLO",Roma,Lazio,Altro,+393899565849,info@lachiostrina.it,www.lachiostrina.it
IT018006,"Guest House o affittacamere Impero Vaticano",Roma,Lazio,Altro,+393899464487,imperovaticano@gmail.com,www.imperovaticano.com
IT018009,"COLFELICE ROOMS guest house o affittacamere",Roma,Lazio,Altro,+393890414312,info@bbcolfelice.it,www.colfelicerooms.it
IT018011,"SIMONA PAPPACENA - PIGNETO GUEST HOUSE o AFFITTACAMERE",Roma,Lazio,Altro,+393933328368,info@pignetoguesthouse.com,www.pignetoguesthouse.com
IT018012,"HOTEL ANTICA LOCANDA",Roma,Lazio,Hotel,+393939311013,germani77@hotmail.com,www.anticalocandaroma.it
IT018016,"HOTEL MASCAGNI",Roma,Lazio,Hotel,+39390648904040,info@hotelmascagni.com,www.hotelmascagni.com
IT018017,"HOTEL CONDOMINIO MONTI",Roma,Lazio,Hotel,+393204944124,info@condominiomonti.it,www.condominiomonti.it
IT018018,"Bed & Breakfast Atticvs di mamma Ines",Roma,Lazio,B&B,+393938962582,bizio284@yahoo.it,www.atticus-bnb.com
IT018019,"ANGELINA DIMORA MODERNA",Roma,Lazio,Altro,+393929431637,angelinabb13@gmail.com,www.bed-boat.it
IT018020,"GUEST HOUSE O AFFITTACAMERE BOUTIQUE ROME INN",Roma,Lazio,Altro,+393922065344,info@boutiqueromeinn.com,www.boutiqueromeinn.com
IT018021,"RESIDENZA GREGORIO VII",Roma,Lazio,Altro,+393926057393,info@residenzagregorio7.it,www.residenzagregorio7.it
IT018022,"LETTO E LATTE ROMA GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393922471197,lettoelattesrls@gmail.com,www.bnblettoelatteroma.it
IT018024,"BED & BIKEROME ROOM GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393478352574,info@bedandbikerome.com,http://www.bedandbikerome.com/
IT018031,"ROOM 94 LUXURY GUEST HOUSE O AFFITTACAMERE'",Roma,Lazio,Altro,+39335385175,room94rome@gmail.com,
IT018034,"A PICTURE OF ROME",Roma,Lazio,Altro,+39390639737845,dampsrls@gmail.com,www.bbapictureofrome.com
IT018045,"Guest house o affittacamere: BEA SUITES LUXURY ROOMS",Roma,Lazio,Altro,+393387482740,beasuites@gmail.com,www.beasuites.com
IT018046,"Guest House o Affittacamere Bea Suites",Roma,Lazio,Altro,+393387482740,beasuites@gmail.com,www.beasuites.com
IT018051,"HOTEL ATELIER 800",Roma,Lazio,Hotel,+393755183209,info@atelier800.com,www.atelier800.com
IT018054,"GUEST HOUSE O AFFITTACAMERE AMALIA SUITES",Roma,Lazio,Altro,+393475046393,gianlucaconsoli@yahoo.it,www.amaliasuites.com
IT018056,"GUEST HOUSE O AFFITTACAMERE  47 STEPS",Roma,Lazio,Altro,+393505841968,reservation@47steps.it,www.47steps.it
IT018058,"PICCOLA NAVONA ROOF GARDEN Guest House o Affittacamere",Roma,Lazio,Altro,+393755806813,amministrazione@piccolanavona.com,www.piccolanavona.com
IT018060,"HOTEL EUROROOMS",Roma,Lazio,Hotel,+393515577772,info@eurorooms.it,www.eurorooms.it
IT018062,"Casa per Ferie Santa Sofia",Roma,Lazio,Altro,+393515799997,res@santasofiarome.com,www.santasofiarome.com
IT018063,"DEPANDANCE HOTEL APHRODITE",Roma,Lazio,Altro,+393517223639,reception@hotelaphrodite.com,www.hotelaphrodite.com
IT018064,"GUEST HOUSE O AFFITTACAMERE HOUSE MARTIN",Roma,Lazio,Altro,+393208340523,giahelesrls@gmail.com,www.bbinrome.com
IT018065,"Guest House o Affittacamere EHI",Roma,Lazio,Altro,+393482341443,info@ehibnb.com,www.ehibnb.it - www.ehibnb.com
IT018067,"Hadrianus Temple Suites",Roma,Lazio,Altro,+393519635984,reservations@hadrianustemplesuites.com,www.hadrianustemplesuites.com
IT018069,"O.Effe. Suites",Roma,Lazio,Altro,+393663823127,info@oeffesuites.com,www.oeffesuites.com
IT018070,"The Manzoni Guest House o Affittacamere",Roma,Lazio,Altro,+393701134027,themanzoni01@gmail.com,
IT018073,"N-SPACE MODERN GUESTROOMS Guest House o Affittacamere",Roma,Lazio,Altro,+393488012409,info@n-spacerome.com,www.n-spacerome.com
IT018077,"GUEST HOUSE O AFFITTACAMERE - SUITES ROMA TIBURTINA ELEGANCE",Roma,Lazio,Altro,+393497502457,info@suitesromatiburtina.it,www.suitesromatiburtina.it
IT018078,"Nina",Roma,Lazio,Altro,+393467469494,info@iviaggidellemeraviglie.com,www.ninaguesthouse.it
IT018080,"NIKIS COLLECTION TRASTEVERE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393505513688,info@nikiscollectiontrastevere.com,www.nikiscollectiontrastevere.com
IT018082,"Roma Accomodation Nerva",Roma,Lazio,Altro,+393480925164,info@nervaaccomodation.it,www.nervaaccomodation.it
IT018087,"ROMETOBE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393402370166,info@rometobe.it,www.rometobe.it
IT018088,"MORGAGNI HOUSE",Roma,Lazio,Altro,+393401791146,infomagia98@libero.it,www.morgagnihouseroma.it
IT018090,"vatican relais rome guest house o affittacamere",Roma,Lazio,Altro,+393407454089,info@vaticanrome.it,www.vaticanrome.it
IT018091,"MAISON 6 GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393401566764,tonynoxp@gmail.com,
IT018094,"ROMA IN UNA STANZA",Roma,Lazio,Altro,+393402794388,info@romainunastanza.it,www.romainunastanza.it
IT018096,"ROSSANA HOUSE GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393404726492,rossanaguesthouse@gmail.com,www.rossanarooms.it
IT018099,"Guest House o Affittacamere Tempo Lento",Roma,Lazio,Altro,+393405568771,info@iltempolento.com,www.iltempolento.com
IT018106,"Bed & Breakfast AltraTerra - casa rurale",Roma,Lazio,B&B,+393404902411,altra_terra@yahoo.it,www.altraterra.net
IT018108,"BoRooms GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393396412344,borooms203@gmail.com,
IT018110,"AVENTINO INN guest house - affittacamere",Roma,Lazio,Altro,+39393314675450,aventinosas@pec.it,www.aventinoguesthouse.com
IT018111,"AURELIA HOME GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393664909053,aureliahomeroma@gmail.com,www.aureliahome.it
IT018115,"Guest House o Affittacamere Casale Tuscolano",Roma,Lazio,Altro,+393483832112,info@hotelstranamore.com,www.hotelstranamore.com
IT018118,"Domus Turno Guest House o Affittacamere",Roma,Lazio,Altro,+393518906383,attractionsinrome@gmail.com,www.attractionsinrome.com
IT018120,"HOTEL LES CHAMBRES D'OR GRACCHI 32",Roma,Lazio,Hotel,+393397913570,info@leschambresdor.com,
IT018121,"GUEST HOUSE O AFFITTACAMERE BASILIO 55",Roma,Lazio,Altro,+393482802892,basilio55rome@gmail.com,www.basilio55rome.com
IT018122,"Guest House o Affittacamere La Residenza Suites",Roma,Lazio,Altro,+393397656804,m.menichelli@domushotel.com,www.domushotel.com
IT018124,"GUEST HOUSE O AFFITTACAMERE DELLA MAMMA",Roma,Lazio,Altro,+393482557675,info@affittacameredellamamma.com,www.affittacameredellamamma.com
IT018127,"Beige Et Ble' Guest House o Affittacamere/Guest House",Roma,Lazio,Altro,+393335276953,beigeetble@outlook.com,www.beigeetbleguesthouse.com
